
  alpha  pca  Ks  dv-err
-------  ---  --- ------
1.0e-05   1   1 69.550
1.0e-05   1   2 72.100
1.0e-05   1   5 74.900
1.0e-05   1  10 77.200
1.0e-05   1  20 78.467
1.0e-05   1  50 76.067
1.0e-05   1 100 75.817
1.0e-05   2   1 55.483
1.0e-05   2   2 57.050
1.0e-05   2   5 58.467
1.0e-05   2  10 60.900
1.0e-05   2  20 62.817
1.0e-05   2  50 64.050
1.0e-05   2 100 62.750
1.0e-05   5   1 29.883
1.0e-05   5   2 29.267
1.0e-05   5   5 28.167
1.0e-05   5  10 29.133
1.0e-05   5  20 29.133
1.0e-05   5  50 29.383
1.0e-05   5 100 29.467
1.0e-05  10   1 14.933
1.0e-05  10   2 13.367
1.0e-05  10   5 11.517
1.0e-05  10  10 10.817
1.0e-05  10  20  9.967
1.0e-05  10  50  9.133
1.0e-05  10 100  8.583
1.0e-05  20   1  8.483
1.0e-05  20   2  7.367
1.0e-05  20   5  5.533
1.0e-05  20  10  5.433
1.0e-05  20  20  4.917
1.0e-05  20  50  4.183
1.0e-05  20 100  3.533
1.0e-05  50   1  6.567
1.0e-05  50   2  5.683
1.0e-05  50   5  4.617
1.0e-05  50  10  3.917
1.0e-05  50  20  3.517
1.0e-05  50  50  2.450
1.0e-05  50 100  2.500
1.0e-05 100   1  6.467
1.0e-05 100   2  5.400
1.0e-05 100   5  4.400
1.0e-05 100  10  3.767
1.0e-05 100  20  3.183
1.0e-05 100  50  2.233
1.0e-05 100 100  2.333
1.0e-04   1   1 69.400
1.0e-04   1   2 71.567
1.0e-04   1   5 75.250
1.0e-04   1  10 78.367
1.0e-04   1  20 78.033
1.0e-04   1  50 75.917
1.0e-04   1 100 76.167
1.0e-04   2   1 55.033
1.0e-04   2   2 59.400
1.0e-04   2   5 60.383
1.0e-04   2  10 61.200
1.0e-04   2  20 62.650
1.0e-04   2  50 63.917
1.0e-04   2 100 64.250
1.0e-04   5   1 28.333
1.0e-04   5   2 27.733
1.0e-04   5   5 28.683
1.0e-04   5  10 29.550
1.0e-04   5  20 32.083
1.0e-04   5  50 31.383
1.0e-04   5 100 31.000
1.0e-04  10   1 11.817
1.0e-04  10   2 10.550
1.0e-04  10   5  9.783
1.0e-04  10  10  9.133
1.0e-04  10  20  8.917
1.0e-04  10  50  7.783
1.0e-04  10 100  7.667
1.0e-04  20   1  6.167
1.0e-04  20   2  5.350
1.0e-04  20   5  4.350
1.0e-04  20  10  4.183
1.0e-04  20  20  3.617
1.0e-04  20  50  3.217
1.0e-04  20 100  2.517
1.0e-04  50   1  4.683
1.0e-04  50   2  3.800
1.0e-04  50   5  3.100
1.0e-04  50  10  2.600
1.0e-04  50  20  2.333
1.0e-04  50  50  1.833
1.0e-04  50 100  1.667
1.0e-04 100   1  4.267
1.0e-04 100   2  3.583
1.0e-04 100   5  2.967
1.0e-04 100  10  2.517
1.0e-04 100  20  2.150
1.0e-04 100  50  1.600
1.0e-04 100 100  1.850
1.0e-03   1   1 69.383
1.0e-03   1   2 73.633
1.0e-03   1   5 74.667
1.0e-03   1  10 76.050
1.0e-03   1  20 77.133
1.0e-03   1  50 76.850
1.0e-03   1 100 76.250
1.0e-03   2   1 55.517
1.0e-03   2   2 60.267
1.0e-03   2   5 60.917
1.0e-03   2  10 63.467
1.0e-03   2  20 67.183
1.0e-03   2  50 69.300
1.0e-03   2 100 67.683
1.0e-03   5   1 28.533
1.0e-03   5   2 28.083
1.0e-03   5   5 30.483
1.0e-03   5  10 31.250
1.0e-03   5  20 33.550
1.0e-03   5  50 36.200
1.0e-03   5 100 36.500
1.0e-03  10   1 12.267
1.0e-03  10   2 11.817
1.0e-03  10   5 10.567
1.0e-03  10  10 10.200
1.0e-03  10  20 10.933
1.0e-03  10  50  9.317
1.0e-03  10 100  9.900
1.0e-03  20   1  6.700
1.0e-03  20   2  6.100
1.0e-03  20   5  5.250
1.0e-03  20  10  4.417
1.0e-03  20  20  4.367
1.0e-03  20  50  4.183
1.0e-03  20 100  3.967
1.0e-03  50   1  5.683
1.0e-03  50   2  5.267
1.0e-03  50   5  4.533
1.0e-03  50  10  3.300
1.0e-03  50  20  3.350
1.0e-03  50  50  2.900
1.0e-03  50 100  3.383
1.0e-03 100   1  5.617
1.0e-03 100   2  5.283
1.0e-03 100   5  4.283
1.0e-03 100  10  3.367
1.0e-03 100  20  3.433
1.0e-03 100  50  3.517
1.0e-03 100 100  3.383
