Grados 	C  Acierto
1 	   1 	92.067
1 	  10 	91.883
1 	 100 	86.250
1 	 500 	85.550
1 	1000 	85.550
1 	2000 	85.550
2 	   1 	98.050
2 	  10 	98.050
2 	 100 	98.050
2 	 500 	98.050
2 	1000 	98.050
2 	2000 	98.050
3 	   1 	97.883
3 	  10 	97.883
3 	 100 	97.883
3 	 500 	97.883
3 	1000 	97.883
3 	2000 	97.883
4 	   1 	97.350
4 	  10 	97.350
4 	 100 	97.350
4 	 500 	97.350
4 	1000 	97.350
4 	2000 	97.350
5 	   1 	96.217
5 	  10 	96.217
5 	 100 	96.217
5 	 500 	96.217
5 	1000 	96.217
5 	2000 	96.217
6 	   1 	95.167
6 	  10 	95.167
6 	 100 	95.167
6 	 500 	95.167
6 	1000 	95.167
6 	2000 	95.167
7 	   1 	94.183
7 	  10 	94.183
7 	 100 	94.183
7 	 500 	94.183
7 	1000 	94.183
7 	2000 	94.183
